2019-04-03 11:51:47 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] - HV000001: Hibernate Validator 6.0.14.Final
2019-04-03 11:51:48 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f4a0db1c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-03 11:51:48 [main] INFO  [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator] - Fetching config from server at : http://localhost:8888
2019-04-03 11:51:48 [main] INFO  [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator] - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2019-04-03 11:51:48 [main] WARN  [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator] - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/consul-zuul-gateway/dev": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
2019-04-03 11:51:48 [main] INFO  [com.springcloud.project.zuulservice.ZuulServiceApplication] - No active profile set, falling back to default profiles: default
2019-04-03 11:51:49 [main] WARN  [org.springframework.boot.actuate.endpoint.EndpointId] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-04-03 11:51:49 [main] WARN  [org.springframework.boot.actuate.endpoint.EndpointId] - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2019-04-03 11:51:49 [main] INFO  [org.springframework.cloud.context.scope.GenericScope] - BeanFactory id=966844a7-30ae-3092-ba6b-0296b6e99194
2019-04-03 11:51:49 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f4a0db1c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-03 11:51:50 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 80 (http)
2019-04-03 11:51:50 [main] INFO  [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization completed in 1448 ms
2019-04-03 11:51:50 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] - No URLs will be polled as dynamic configuration sources.
2019-04-03 11:51:50 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-04-03 11:51:50 [main] INFO  [com.netflix.config.DynamicPropertyFactory] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@216c22ce
2019-04-03 11:51:51 [main] INFO  [org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar] - Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2019-04-03 11:51:51 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] - No URLs will be polled as dynamic configuration sources.
2019-04-03 11:51:51 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
